user_id,order_count,last_order_days,avg_order_value,total_orders,city
84,9,14,217,69,Bangalore
85,6,79,422,55,Bangalore
86,6,49,184,40,Bangalore
87,9,33,625,83,Mumbai
88,4,25,459,82,Mumbai
89,9,21,189,50,Mumbai
90,2,17,624,95,Delhi
91,10,23,433,33,Mumbai
92,6,57,396,18,Delhi
93,9,81,345,57,Bangalore
94,4,58,144,16,Delhi
95,1,14,412,80,Delhi
96,6,20,592,38,Mumbai
97,8,30,212,41,Bangalore
98,6,19,671,7,Bangalore
99,2,53,619,78,Mumbai
100,3,56,614,53,Bangalore
101,5,77,575,63,Bangalore
102,3,82,698,89,Bangalore
103,3,23,448,32,Mumbai
104,5,62,178,38,Bangalore
105,6,33,396,22,Delhi
106,5,18,202,16,Delhi
107,3,73,399,52,Bangalore
108,5,33,672,29,Mumbai
109,3,32,574,16,Mumbai
110,3,61,536,76,Mumbai
111,6,54,601,17,Bangalore
112,5,17,599,64,Bangalore
113,6,19,394,91,Delhi
114,2,70,621,89,Mumbai
115,4,34,558,13,Delhi
116,7,84,99,72,Delhi
117,6,25,639,56,Mumbai
118,5,68,209,5,Bangalore
119,4,74,372,12,Bangalore
120,3,74,211,41,Delhi
121,3,88,435,3,Delhi
122,7,85,133,99,Delhi
123,7,11,466,33,Delhi
124,6,16,344,86,Mumbai
125,6,61,294,50,Delhi
126,7,80,539,56,Delhi
127,8,7,537,9,Bangalore
128,6,16,122,82,Bangalore
129,3,16,665,50,Bangalore
130,7,40,357,29,Mumbai
131,5,12,209,39,Mumbai
132,5,35,429,91,Bangalore
133,7,21,623,45,Bangalore
134,4,50,185,17,Delhi
135,9,43,80,56,Delhi
136,4,17,663,98,Mumbai
137,5,32,511,46,Mumbai
138,2,41,385,67,Delhi
139,6,6,606,69,Bangalore
140,3,88,132,14,Delhi
141,6,27,599,67,Mumbai
142,2,20,409,23,Mumbai
143,3,25,637,94,Delhi
144,5,66,404,61,Delhi
145,3,9,193,23,Delhi
146,4,53,226,27,Mumbai
147,5,61,245,54,Bangalore
148,6,38,458,10,Delhi
149,3,3,218,89,Mumbai
150,3,84,378,77,Mumbai
151,4,70,355,16,Mumbai
152,5,55,257,41,Delhi
153,4,1,433,98,Delhi
154,2,70,233,55,Bangalore
155,6,45,280,61,Mumbai
156,6,47,194,86,Delhi
157,8,79,633,81,Mumbai
158,1,26,147,87,Mumbai
159,6,14,524,49,Bangalore
160,2,54,524,73,Delhi
161,5,71,405,52,Delhi
162,2,46,681,2,Mumbai
163,6,31,438,96,Mumbai
164,4,88,224,50,Bangalore
165,3,59,354,86,Bangalore
166,5,29,588,43,Bangalore
167,6,17,258,77,Bangalore
168,3,14,556,8,Bangalore
169,4,36,493,59,Bangalore
170,8,58,232,65,Mumbai
171,4,24,183,81,Bangalore
172,10,63,154,12,Mumbai
173,4,25,207,4,Mumbai
174,5,59,647,77,Delhi
175,10,32,424,95,Mumbai
176,3,82,610,41,Mumbai
177,4,18,238,7,Bangalore
178,7,37,617,87,Mumbai
179,5,26,505,88,Bangalore
180,10,9,102,69,Bangalore
181,4,64,126,69,Bangalore
182,2,72,604,81,Delhi
183,3,20,223,30,Bangalore
184,5,54,664,73,Mumbai
185,8,86,668,6,Bangalore
186,4,83,498,89,Bangalore
187,3,30,164,19,Bangalore
188,8,53,495,80,Delhi
189,6,63,561,85,Mumbai
190,8,11,535,66,Delhi
191,3,31,376,10,Mumbai
192,3,49,191,16,Delhi
193,5,87,309,37,Mumbai
194,11,19,175,79,Delhi
195,7,12,457,77,Bangalore
196,4,15,235,77,Delhi
197,3,31,500,32,Delhi
198,8,43,184,47,Bangalore
199,8,37,409,72,Bangalore
200,3,79,518,43,Mumbai
201,3,29,211,82,Mumbai
202,6,26,461,36,Mumbai
203,2,2,217,26,Delhi
204,7,84,349,10,Mumbai
205,5,15,629,31,Delhi
206,5,4,475,97,Delhi
207,6,86,636,29,Mumbai
208,1,50,543,5,Mumbai
209,10,38,529,77,Delhi
210,2,23,410,1,Bangalore
211,5,59,332,87,Bangalore
212,4,75,364,3,Delhi
213,5,28,353,67,Mumbai
214,4,66,99,71,Delhi
215,5,8,318,35,Delhi
216,6,29,349,15,Mumbai
217,1,11,497,67,Bangalore
218,3,18,389,93,Delhi
219,2,55,110,30,Bangalore
220,5,50,183,82,Bangalore
221,4,14,265,75,Mumbai
222,7,74,207,43,Delhi
223,7,9,289,60,Delhi
224,2,11,493,40,Bangalore
225,6,63,360,65,Bangalore
226,7,76,332,29,Mumbai
227,2,67,98,74,Bangalore
228,7,53,215,92,Mumbai
229,5,39,302,95,Delhi
230,7,78,82,19,Mumbai
231,6,56,315,3,Bangalore
232,5,28,544,36,Delhi
233,6,75,307,43,Mumbai
234,5,39,578,15,Delhi
235,4,25,600,97,Mumbai
236,7,21,218,41,Bangalore
237,1,10,355,90,Bangalore
238,8,43,370,80,Delhi
239,4,15,132,36,Delhi
240,5,83,189,97,Delhi
241,3,48,83,84,Mumbai
242,7,86,126,77,Bangalore
243,2,21,173,33,Delhi
244,5,60,639,5,Delhi
245,10,50,292,78,Delhi
246,7,23,515,91,Mumbai
247,7,13,587,87,Delhi
248,10,69,284,14,Delhi
249,1,4,460,68,Mumbai
250,5,78,152,83,Mumbai
251,3,72,595,47,Delhi
252,8,9,155,54,Delhi
253,7,35,156,4,Mumbai
254,3,21,489,94,Bangalore
255,1,58,693,83,Mumbai
256,5,18,185,95,Bangalore
257,3,72,630,95,Delhi
258,6,81,555,9,Delhi
259,3,43,354,53,Bangalore
260,4,6,167,77,Mumbai
261,5,86,156,78,Delhi
262,8,78,156,60,Bangalore
263,7,67,521,46,Mumbai
264,5,12,619,54,Bangalore
265,4,12,324,74,Mumbai
266,6,66,657,95,Mumbai
267,8,2,461,37,Mumbai
268,4,15,649,23,Mumbai
269,3,23,221,27,Bangalore
270,2,29,447,70,Bangalore
271,3,81,163,90,Bangalore
272,9,7,222,66,Bangalore
273,5,28,431,61,Bangalore
274,4,14,624,77,Mumbai
275,7,44,231,51,Delhi
276,8,30,237,50,Delhi
277,4,81,525,19,Bangalore
278,4,32,382,1,Bangalore
279,8,70,529,40,Delhi
280,5,88,303,32,Mumbai
281,5,6,122,22,Bangalore
282,6,27,343,93,Mumbai
283,7,82,82,66,Delhi
284,2,88,347,40,Delhi
285,1,24,675,38,Bangalore
286,7,34,95,48,Mumbai
287,5,40,413,55,Bangalore
288,4,47,543,75,Delhi
289,4,79,138,81,Mumbai
290,3,75,256,55,Bangalore
291,8,86,142,51,Bangalore
292,7,24,640,60,Bangalore
293,1,65,386,8,Delhi
294,2,18,325,86,Bangalore
295,4,44,368,68,Mumbai
296,6,76,411,75,Bangalore
297,4,57,606,72,Delhi
298,6,28,334,9,Bangalore
299,8,71,683,90,Delhi
300,7,23,589,2,Delhi
301,5,85,685,80,Mumbai
302,2,34,542,95,Mumbai
303,1,11,278,70,Bangalore
304,7,86,350,85,Delhi
305,4,35,637,90,Delhi
306,1,42,143,59,Mumbai
307,6,28,309,19,Mumbai
308,5,82,328,28,Bangalore
309,8,78,325,72,Delhi
310,5,82,666,14,Mumbai
311,4,24,236,24,Bangalore
312,10,8,643,44,Delhi
313,7,53,167,56,Delhi
314,4,72,392,90,Mumbai
315,8,4,145,95,Bangalore
316,5,5,99,51,Mumbai
317,5,49,112,32,Bangalore
318,5,30,637,50,Delhi
319,2,72,152,41,Bangalore
320,3,63,422,66,Bangalore
321,4,47,212,25,Bangalore
322,9,26,134,61,Bangalore
323,0,57,140,66,Bangalore
324,5,37,599,42,Mumbai
325,5,7,351,65,Bangalore
326,5,40,325,36,Bangalore
327,5,39,255,76,Delhi
328,4,62,396,9,Bangalore
329,9,78,210,36,Delhi
330,6,53,181,92,Mumbai
331,2,4,389,38,Mumbai
332,6,82,371,33,Bangalore
333,6,25,574,42,Mumbai
334,6,7,440,61,Bangalore
335,5,28,417,46,Mumbai
336,2,69,658,86,Bangalore
337,5,67,89,89,Bangalore
338,3,20,128,61,Delhi
339,3,83,566,18,Delhi
340,3,11,400,70,Delhi
341,6,67,648,82,Delhi
342,6,87,212,80,Bangalore
343,4,7,662,15,Mumbai
344,5,23,162,48,Bangalore
345,5,61,136,72,Delhi
346,7,71,455,13,Delhi
347,5,34,428,43,Mumbai
348,3,19,350,60,Delhi
349,4,58,562,57,Bangalore
350,7,9,190,71,Bangalore
351,5,48,155,17,Bangalore
352,7,82,237,50,Bangalore
353,8,41,611,32,Bangalore
354,7,48,408,22,Mumbai
355,5,45,201,55,Bangalore
356,8,25,120,57,Delhi
357,4,78,246,13,Delhi
358,6,25,102,47,Delhi
359,8,19,358,87,Delhi
360,6,39,548,62,Mumbai
361,3,79,479,54,Delhi
362,8,80,88,29,Mumbai
363,4,27,92,22,Delhi
364,7,74,131,65,Mumbai
365,2,63,288,29,Mumbai
366,10,68,629,48,Mumbai
367,6,19,691,5,Delhi
368,4,28,481,35,Mumbai
369,5,85,270,74,Bangalore
370,6,78,130,83,Bangalore
371,4,33,472,71,Delhi
372,5,10,379,46,Bangalore
373,6,83,275,35,Bangalore
374,3,30,496,45,Bangalore
375,7,22,499,13,Delhi
376,7,3,696,10,Delhi
377,8,82,601,66,Bangalore
378,4,75,435,70,Delhi
379,7,48,227,72,Mumbai
380,3,2,444,25,Bangalore
381,4,76,443,44,Delhi
382,4,54,481,60,Delhi
383,0,6,685,47,Bangalore
384,1,40,571,40,Delhi
385,1,2,308,7,Bangalore
386,7,73,654,46,Delhi
387,5,2,616,23,Mumbai
388,5,74,347,83,Bangalore
389,8,55,484,46,Mumbai
390,3,72,90,86,Bangalore
391,5,60,399,13,Delhi
392,3,6,205,21,Mumbai
393,5,19,385,1,Delhi
394,1,27,590,19,Bangalore
395,7,1,168,60,Bangalore
396,2,33,434,33,Bangalore
397,4,40,431,4,Bangalore
398,6,32,93,3,Bangalore
399,7,69,336,91,Mumbai
400,9,17,288,52,Bangalore
401,4,8,360,99,Delhi
402,1,57,522,28,Mumbai
403,4,42,468,70,Delhi
404,6,9,696,70,Bangalore
405,3,87,562,55,Delhi
406,4,35,226,57,Mumbai
407,2,71,358,87,Mumbai
408,6,79,600,97,Mumbai
409,8,53,685,16,Delhi
410,7,54,513,24,Mumbai
411,2,84,223,69,Delhi
412,6,25,368,41,Bangalore
413,9,67,465,77,Bangalore
414,3,62,93,47,Delhi
415,8,55,336,76,Mumbai
416,7,46,425,69,Delhi
417,6,24,424,31,Delhi
418,10,46,479,92,Delhi
419,5,22,286,92,Bangalore
420,5,11,251,30,Delhi
421,5,48,543,18,Bangalore
422,5,8,349,44,Delhi
423,4,39,300,27,Bangalore
424,10,35,231,99,Delhi
425,3,49,262,26,Delhi
426,2,46,478,60,Mumbai
427,6,38,151,18,Mumbai
428,4,8,497,97,Delhi
429,4,54,362,89,Delhi
430,8,37,153,56,Delhi
431,5,40,434,31,Delhi
432,4,34,576,59,Mumbai
433,7,79,407,2,Bangalore
434,4,17,614,97,Delhi
435,2,33,659,39,Mumbai
436,2,47,526,61,Delhi
437,3,52,452,63,Delhi
438,3,80,441,96,Bangalore
439,8,9,172,18,Delhi
440,6,33,400,17,Delhi
441,0,60,403,98,Bangalore
442,8,77,463,39,Bangalore
443,5,21,654,71,Bangalore
444,4,58,425,54,Bangalore
445,5,85,182,99,Mumbai
446,7,69,294,94,Mumbai
447,6,10,271,76,Mumbai
448,3,6,273,35,Delhi
449,4,13,459,11,Bangalore
450,2,65,482,61,Bangalore
451,4,20,679,44,Mumbai
452,1,57,90,68,Delhi
453,9,46,266,25,Delhi
454,3,8,94,48,Delhi
455,1,10,376,32,Mumbai
456,5,73,490,84,Delhi
457,4,67,664,95,Delhi
458,6,11,131,4,Delhi
459,5,12,107,38,Bangalore
460,8,10,656,63,Mumbai
461,5,25,96,47,Bangalore
462,7,49,430,1,Bangalore
463,4,49,507,3,Mumbai
464,1,89,308,86,Bangalore
465,5,11,289,62,Delhi
466,4,62,510,64,Delhi
467,3,36,373,17,Delhi
468,2,39,661,78,Delhi
469,12,53,183,62,Mumbai
470,5,78,283,35,Bangalore
471,10,56,132,13,Bangalore
472,6,1,454,35,Delhi
473,1,56,133,43,Delhi
474,6,4,355,2,Bangalore
475,2,30,414,56,Mumbai
476,4,12,110,77,Bangalore
477,5,35,214,51,Delhi
478,8,77,137,54,Delhi
479,4,52,184,16,Mumbai
480,2,31,345,18,Bangalore
481,1,87,601,7,Mumbai
482,8,68,575,45,Mumbai
483,8,52,332,36,Delhi
484,4,80,374,41,Bangalore
485,1,7,237,94,Delhi
486,9,22,628,42,Bangalore
487,4,75,146,7,Delhi
488,2,56,378,15,Delhi
489,4,58,542,60,Bangalore
490,3,64,180,40,Bangalore
491,8,12,135,83,Delhi
492,9,7,411,37,Bangalore
493,4,55,472,66,Delhi
494,4,62,460,55,Bangalore
495,5,73,171,77,Delhi
496,11,77,526,95,Delhi
497,8,55,188,80,Delhi
498,6,36,396,56,Mumbai
499,2,89,247,44,Bangalore
500,8,24,514,57,Delhi
501,7,44,521,6,Mumbai
502,6,17,297,92,Delhi
503,5,2,301,32,Mumbai
504,3,13,607,74,Delhi
505,5,31,357,18,Delhi
506,3,28,648,68,Mumbai
507,3,60,653,73,Mumbai
508,7,27,545,7,Bangalore
509,4,15,681,8,Bangalore
510,4,79,663,64,Mumbai
511,6,33,109,7,Bangalore
512,6,20,438,41,Mumbai
513,3,42,367,40,Bangalore
514,4,12,165,3,Delhi
515,6,73,313,17,Bangalore
516,6,23,392,66,Delhi
517,6,72,444,79,Delhi
518,6,14,348,93,Bangalore
519,3,25,210,52,Mumbai
520,5,77,430,22,Delhi
521,2,85,259,4,Delhi
522,5,31,559,6,Bangalore
523,3,54,242,38,Mumbai
524,3,5,175,26,Mumbai
525,5,13,589,11,Bangalore
526,11,28,444,90,Mumbai
527,7,43,432,17,Bangalore
528,7,89,515,88,Bangalore
529,4,47,162,92,Bangalore
530,1,71,304,99,Delhi
531,4,38,491,31,Delhi
532,5,67,197,77,Delhi
533,4,62,561,35,Bangalore
534,4,39,271,16,Delhi
535,7,37,670,79,Delhi
536,6,86,669,18,Delhi
537,8,8,186,62,Bangalore
538,4,81,461,27,Bangalore
539,3,52,469,35,Bangalore
540,0,33,323,45,Delhi
541,4,81,664,35,Mumbai
542,1,42,547,28,Delhi
543,4,76,617,9,Delhi
544,3,27,289,76,Bangalore
545,5,8,683,15,Bangalore
546,6,23,152,21,Delhi
547,6,64,388,52,Delhi
548,4,20,669,35,Mumbai
549,4,16,265,97,Mumbai
550,5,17,332,51,Bangalore
551,1,80,92,83,Mumbai
552,9,19,378,55,Mumbai
553,7,8,155,87,Bangalore
554,5,38,130,77,Mumbai
555,4,38,228,44,Delhi
556,5,53,201,65,Mumbai
557,4,31,290,93,Bangalore
558,1,44,359,88,Delhi
559,3,60,617,80,Mumbai
560,7,76,235,25,Delhi
561,6,17,317,87,Delhi
562,10,79,455,92,Mumbai
563,4,73,161,47,Mumbai
564,5,39,571,80,Bangalore
565,6,42,435,56,Bangalore
566,6,48,352,38,Delhi
567,8,12,659,11,Bangalore
568,4,89,123,67,Delhi
569,3,18,652,15,Delhi
570,3,79,202,1,Bangalore
571,9,6,428,7,Bangalore
572,7,43,409,1,Bangalore
573,2,35,488,49,Mumbai
574,2,54,402,96,Delhi
575,4,62,190,73,Delhi
576,6,69,168,29,Delhi
577,9,82,512,26,Bangalore
578,11,16,178,87,Bangalore
579,4,8,618,45,Bangalore
580,7,89,680,93,Bangalore
581,7,86,225,97,Bangalore
582,3,31,336,71,Mumbai
583,7,10,268,12,Bangalore
584,5,56,319,95,Delhi
585,2,76,582,32,Bangalore
586,9,70,350,20,Delhi
587,6,20,599,51,Bangalore
588,3,5,629,81,Bangalore
589,6,23,193,36,Delhi
590,3,9,418,67,Delhi
591,2,58,647,1,Delhi
592,8,59,438,27,Delhi
593,4,80,693,40,Mumbai
594,5,54,413,97,Delhi
595,4,46,248,84,Bangalore
596,3,22,418,14,Bangalore
597,4,64,340,69,Mumbai
598,3,8,278,87,Delhi
599,11,20,290,79,Bangalore
600,6,51,366,6,Mumbai
601,5,78,551,33,Bangalore
602,5,39,561,55,Mumbai
603,5,37,102,19,Mumbai
604,3,50,639,77,Delhi
605,6,34,188,29,Mumbai
606,4,75,375,61,Bangalore
607,5,33,85,70,Bangalore
608,3,31,629,79,Delhi
609,7,54,282,80,Delhi
610,3,44,404,24,Mumbai
611,6,34,323,23,Delhi
612,7,71,406,10,Bangalore
613,1,62,126,54,Bangalore
614,6,23,670,41,Delhi
615,4,46,92,49,Delhi
616,2,56,459,17,Delhi
617,2,7,444,56,Mumbai
618,5,89,681,45,Mumbai
619,5,61,421,30,Bangalore
620,3,3,300,44,Mumbai
621,5,38,152,74,Mumbai
622,11,84,125,55,Mumbai
623,2,34,583,19,Mumbai
624,6,44,353,29,Bangalore
625,5,30,634,2,Delhi
626,3,17,287,36,Bangalore
627,4,59,694,19,Mumbai
628,10,10,203,7,Delhi
629,1,84,89,26,Delhi
630,8,18,408,79,Delhi
631,3,45,266,38,Bangalore
632,5,59,622,3,Delhi
633,4,62,139,80,Bangalore
634,11,59,521,66,Bangalore
635,3,49,296,95,Mumbai
636,4,63,81,92,Mumbai
637,3,87,615,71,Delhi
638,3,32,435,94,Delhi
639,8,10,244,43,Mumbai
640,1,11,170,62,Bangalore
641,5,70,246,71,Bangalore
642,7,62,286,93,Mumbai
643,3,47,361,24,Bangalore
644,7,34,144,39,Mumbai
645,5,17,595,68,Mumbai
646,7,54,236,93,Delhi
647,5,76,385,44,Delhi
648,7,85,474,5,Mumbai
649,5,40,153,55,Delhi
650,4,19,266,93,Mumbai
651,5,67,653,30,Bangalore
652,11,82,416,29,Bangalore
653,7,53,647,26,Bangalore
654,6,64,319,83,Bangalore
655,3,83,612,26,Mumbai
656,0,47,220,37,Bangalore
657,10,6,344,91,Bangalore
658,5,16,218,94,Bangalore
659,5,72,538,53,Bangalore
660,3,18,149,30,Mumbai
661,4,52,464,3,Bangalore
662,2,48,277,43,Delhi
663,2,43,284,7,Delhi
664,7,39,647,49,Delhi
665,3,49,510,73,Delhi
666,1,12,404,41,Delhi
667,3,10,521,77,Delhi
668,7,71,367,79,Mumbai
669,5,55,305,54,Delhi
670,5,1,143,69,Bangalore
671,4,49,639,93,Delhi
672,5,36,577,99,Mumbai
673,5,21,139,91,Delhi
674,3,37,476,27,Bangalore
675,3,24,336,8,Bangalore
676,6,55,656,32,Mumbai
677,6,25,318,84,Mumbai
678,4,7,117,64,Mumbai
679,9,81,104,10,Mumbai
680,6,71,489,13,Delhi
681,5,71,540,63,Delhi
682,5,24,650,93,Bangalore
683,4,11,496,35,Mumbai
684,10,73,436,61,Mumbai
685,6,12,462,54,Delhi
686,2,35,237,8,Mumbai
687,4,63,648,29,Bangalore
688,3,68,512,95,Bangalore
689,2,57,127,41,Mumbai
690,5,13,407,30,Bangalore
691,6,23,512,86,Bangalore
692,5,83,510,21,Delhi
693,10,39,135,76,Bangalore
694,5,88,656,11,Mumbai
695,5,80,347,2,Mumbai
696,4,12,148,50,Bangalore
697,4,34,680,41,Mumbai
698,3,71,528,66,Delhi
699,6,75,336,98,Bangalore
700,4,31,569,3,Bangalore
701,2,62,128,80,Bangalore
702,9,13,395,51,Mumbai
703,5,31,492,68,Mumbai
704,9,2,513,87,Bangalore
705,5,15,81,84,Mumbai
706,5,57,224,25,Mumbai
707,1,75,445,30,Bangalore
708,5,34,499,82,Bangalore
709,8,68,652,11,Mumbai
710,6,75,640,93,Bangalore
711,2,29,523,17,Bangalore
712,5,66,513,26,Bangalore
713,5,16,634,23,Bangalore
714,4,39,136,56,Mumbai
715,6,77,641,52,Bangalore
716,5,37,257,48,Delhi
717,6,81,372,20,Bangalore
718,5,21,125,2,Delhi
719,4,44,249,88,Bangalore
720,7,19,350,31,Delhi
721,5,71,496,27,Delhi
722,7,8,218,2,Bangalore
723,6,77,326,78,Bangalore
724,4,66,227,4,Bangalore
725,8,41,309,13,Delhi
726,4,75,453,35,Mumbai
727,3,88,159,72,Mumbai
728,5,70,685,66,Bangalore
729,10,61,144,6,Mumbai
730,6,26,167,31,Mumbai
731,4,71,167,10,Bangalore
732,3,83,283,21,Delhi
733,3,70,461,74,Bangalore
734,5,29,680,23,Mumbai
735,2,66,555,3,Delhi
736,6,19,652,32,Mumbai
737,2,68,685,20,Delhi
738,5,58,618,74,Mumbai
739,2,70,293,29,Bangalore
740,6,57,153,52,Mumbai
741,3,37,140,46,Mumbai
742,5,61,622,34,Delhi
743,2,30,298,84,Mumbai
744,6,71,91,61,Bangalore
745,6,73,494,72,Bangalore
746,7,25,111,71,Bangalore
747,6,65,239,70,Delhi
748,6,6,316,11,Delhi
749,4,18,260,82,Mumbai
750,4,10,637,93,Mumbai
751,7,11,420,89,Mumbai
752,5,65,537,63,Delhi
753,5,77,159,21,Delhi
754,8,84,552,3,Mumbai
755,4,65,191,82,Delhi
756,2,52,371,88,Delhi
757,3,67,462,10,Bangalore
758,4,82,96,27,Bangalore
759,6,78,572,12,Mumbai
760,9,31,410,7,Mumbai
761,3,17,565,17,Bangalore
762,5,55,485,65,Delhi
763,3,36,196,64,Mumbai
764,2,26,634,26,Mumbai
765,4,53,194,15,Mumbai
766,9,17,628,33,Delhi
767,4,86,626,62,Bangalore
768,5,25,415,47,Mumbai
769,8,2,415,95,Bangalore
770,8,86,226,35,Bangalore
771,5,5,201,65,Delhi
772,3,4,160,72,Delhi
773,9,36,454,76,Delhi
774,2,6,649,83,Delhi
775,8,21,142,25,Delhi
776,7,77,583,57,Delhi
777,6,89,528,32,Mumbai
778,9,26,507,63,Bangalore
779,3,55,506,12,Delhi
780,6,39,500,63,Mumbai
781,7,84,401,77,Bangalore
782,7,33,245,92,Delhi
783,5,14,676,1,Delhi
784,5,56,540,51,Mumbai
785,1,81,538,70,Bangalore
786,7,21,268,8,Delhi
787,4,46,543,68,Bangalore
788,7,16,458,5,Mumbai
789,5,16,81,89,Delhi
790,5,84,697,86,Bangalore
791,3,29,443,92,Mumbai
792,5,8,151,39,Mumbai
793,5,88,506,23,Delhi
794,4,3,249,68,Bangalore
795,3,89,284,52,Delhi
796,3,19,416,4,Delhi
797,5,66,551,47,Bangalore
798,10,79,274,21,Bangalore
799,2,86,354,56,Bangalore
800,5,74,86,66,Mumbai
801,3,82,645,59,Mumbai
802,4,22,695,7,Bangalore
803,6,46,652,49,Mumbai
804,3,13,678,16,Delhi
805,4,33,257,17,Bangalore
806,4,5,321,84,Delhi
807,5,77,282,87,Bangalore
808,8,27,622,98,Delhi
809,5,78,541,75,Bangalore
810,6,24,159,34,Delhi
811,3,67,602,33,Bangalore
812,4,63,496,26,Bangalore
813,5,48,463,66,Mumbai
814,6,63,470,63,Delhi
815,7,78,205,87,Mumbai
816,5,12,573,41,Delhi
817,2,28,126,86,Mumbai
818,6,44,555,58,Bangalore
819,4,43,698,98,Mumbai
820,2,17,543,79,Mumbai
821,4,40,202,10,Bangalore
822,2,49,553,15,Mumbai
823,3,85,213,42,Bangalore
824,4,57,698,93,Delhi
825,7,87,641,57,Mumbai
826,5,84,686,87,Bangalore
827,5,64,102,17,Bangalore
828,7,75,645,60,Mumbai
829,9,57,314,9,Delhi
830,7,74,138,36,Mumbai
831,6,74,243,73,Bangalore
832,6,70,295,80,Delhi
833,9,88,262,36,Mumbai
834,2,76,648,48,Bangalore
835,3,43,169,51,Mumbai
836,9,23,390,97,Delhi
837,3,27,636,95,Delhi
838,8,58,336,70,Delhi
839,5,37,612,74,Delhi
840,4,6,612,80,Delhi
841,9,65,131,68,Mumbai
842,2,6,417,22,Delhi
843,5,50,250,77,Delhi
844,10,22,146,80,Bangalore
845,5,88,379,93,Delhi
846,4,25,311,6,Bangalore
847,7,79,147,26,Bangalore
848,3,72,585,75,Bangalore
849,6,51,107,88,Mumbai
850,3,88,130,93,Mumbai
851,3,48,339,3,Bangalore
852,4,70,670,52,Mumbai
853,1,65,699,74,Delhi
854,2,60,665,60,Mumbai
855,4,46,263,63,Delhi
856,5,36,102,65,Delhi
857,8,58,208,52,Mumbai
858,7,76,370,90,Mumbai
859,7,38,580,76,Bangalore
860,2,11,265,14,Mumbai
861,6,12,558,89,Mumbai
862,8,42,650,72,Mumbai
863,6,39,571,68,Delhi
864,4,71,592,28,Delhi
865,4,11,146,71,Delhi
866,4,36,546,10,Bangalore
867,1,52,364,57,Bangalore
868,6,31,680,66,Bangalore
869,8,33,496,90,Delhi
870,7,13,179,50,Mumbai
871,7,18,268,14,Bangalore
872,6,41,467,16,Bangalore
873,6,58,320,54,Delhi
874,4,56,496,43,Bangalore
875,3,24,255,42,Mumbai
876,6,73,466,81,Delhi
877,3,31,550,22,Delhi
878,10,55,312,68,Mumbai
879,5,10,531,19,Mumbai
880,6,60,356,66,Mumbai
881,6,2,308,39,Bangalore
882,4,15,250,73,Mumbai
883,6,3,292,19,Delhi
884,5,43,361,16,Mumbai
885,3,31,120,54,Delhi
886,2,70,201,25,Delhi
887,3,67,306,18,Bangalore
888,2,56,373,23,Mumbai
889,8,63,679,85,Bangalore
890,7,75,346,11,Mumbai
